feature,present_10m,presence_rate_10m,nonzero_rate_given_present_10m,conditional_on_stats5m_presence_10m,present_30m,presence_rate_30m,nonzero_rate_given_present_30m,conditional_on_stats5m_presence_30m,present_60m,presence_rate_60m,nonzero_rate_given_present_60m,conditional_on_stats5m_presence_60m,present_120m,presence_rate_120m,nonzero_rate_given_present_120m,conditional_on_stats5m_presence_120m,first_checkpoint_ge_50pct_presence,first_checkpoint_ge_90pct_presence,checkpoint_change_rate,median_first_nonzero_checkpoint
holderCount,1076,1.0,1.0,,930,1.0,1.0,,821,1.0,1.0,,821,1.0,1.0,,10,10,0.19712286158631415,10.0
liquidity,482,0.4479553903345725,1.0,,361,0.3881720430107527,1.0,,302,0.36784409257003653,1.0,,302,0.36784409257003653,1.0,,,,0.5481865284974093,10.0
mcap,424,0.3940520446096654,1.0,,329,0.35376344086021505,1.0,,279,0.3398294762484775,1.0,,279,0.3398294762484775,1.0,,,,0.5751412429378531,10.0
organicScore_DIAGNOSTIC_ONLY,1076,1.0,0.10780669144981413,,930,1.0,0.13225806451612904,,821,1.0,0.14738124238733252,,821,1.0,0.1510353227771011,,10,10,0.11625194401244168,10
stats5m_numNetBuyers,421,0.3912639405204461,1.0,0.7016666666666667,257,0.2763440860215054,1.0,0.6798941798941799,186,0.22655298416565164,1.0,0.6241610738255033,165,0.20097442143727162,1.0,0.6043956043956044,,,0.6234676007005254,10
stats5m_numTraders,578,0.5371747211895911,1.0,0.9633333333333334,357,0.38387096774193546,1.0,0.9444444444444444,278,0.3386114494518879,1.0,0.9328859060402684,258,0.31425091352009743,1.0,0.945054945054945,10,,0.5179606025492468,10
stats5m_organicVolume_DIAGNOSTIC_ONLY,140,0.13011152416356878,1.0,0.23333333333333334,121,0.13010752688172042,1.0,0.3201058201058201,119,0.14494518879415347,1.0,0.39932885906040266,110,0.13398294762484775,1.0,0.40293040293040294,,,0.7815699658703071,10.0
stats5m_volume,600,0.5576208178438662,1.0,,378,0.4064516129032258,1.0,,298,0.3629719853836784,1.0,,273,0.3325213154689403,1.0,,10,,0.5521405049396267,10
