mint,name,symbol,checkpoint_minutes,monitoring_age_minutes,market_age_minutes,age_basis,window,window_minutes,mcap,liquidity,holders,total_trades,trades_per_hour,num_traders,trades_per_trader,trades_per_trader_per_hour,total_volume,volume_per_hour,avg_trade_size,volume_symmetry,trade_count_symmetry,trade_size_symmetry,turnover_liquidity,turnover_liquidity_per_hour,turnover_mcap,turnover_mcap_per_hour,price_change,holder_change,liquidity_change,num_net_buyers,net_buyer_share,price_impact_per_turnover,churn_per_response,cohort_market_age_band,cohort_mcap_band,cohort_liquidity_band,p_trades_per_hour,p_turnover_liquidity_per_hour,p_trades_per_trader_per_hour,p_volume_symmetry,p_trade_count_symmetry,p_trade_size_symmetry,p_price_impact_per_turnover,p_churn_per_response,matrix_review_trigger,matrix_extreme_axes,archetype_tags,bot_label,retire_label
FPfi9q1AixdUeWQVPFHJMJQ7a43S78dm6UZ4fzN4pump,9gnosis,nosis,10,10,2786.6814476333334,market_age:firstPool.createdAt,stats5m,5,753910.5240572514,43303.65845726174,1446.0,248.0,2976.0,142.0,1.7464788732394365,20.95774647887324,36193.00808914773,434316.0970697727,145.93954874656342,0.9196995147993403,0.9596774193548387,0.7853416622420543,0.835795620475535,10.02954744570642,0.04800703390419744,0.5760844068503692,21.523421740517108,3.2857142857142856,5.432303995463743,51.0,0.3591549295774648,0.23323504570465073,1.5592464928242762,age:>=24h,mcap:300k-1m,liq:20-100k,0.8379629629629629,0.9672897196261683,0.2850467289719626,0.7222222222222222,0.7626262626262627,0.6717171717171717,0.4484536082474227,0.9386792452830188,False,,participation_mismatch_review,,
FPfi9q1AixdUeWQVPFHJMJQ7a43S78dm6UZ4fzN4pump,9gnosis,nosis,10,10,2786.6814476333334,market_age:firstPool.createdAt,stats1h,60,753910.5240572514,43303.65845726174,1446.0,1155.0,1155.0,452.0,2.5553097345132745,2.5553097345132745,133604.34583834876,133604.34583834876,115.67475830160066,0.9277085483728047,0.9142857142857143,0.7285596188198651,3.085290033178344,3.085290033178344,0.17721512245159074,0.17721512245159074,59.113190584387624,5.547445255474453,5.8170704067748495,140.0,0.30973451327433627,0.1505354921033823,0.45258297906270156,age:>=24h,mcap:300k-1m,liq:20-100k,0.7629310344827587,0.9347826086956522,0.30603448275862066,0.5848214285714286,0.48660714285714285,0.40625,0.5642201834862385,0.9260869565217391,False,,participation_mismatch_review,,
FPfi9q1AixdUeWQVPFHJMJQ7a43S78dm6UZ4fzN4pump,9gnosis,nosis,10,10,2786.6814476333334,market_age:firstPool.createdAt,stats6h,360,753910.5240572514,43303.65845726174,1446.0,16976.0,2829.3333333333335,2474.0,6.86176232821342,1.1436270547022367,1690904.6170365075,281817.43617275124,99.60559713928531,0.9868671493274767,0.9902214891611687,0.9933128924074832,39.047615773741946,6.507935962290324,2.242845222449901,0.37380753707498354,954.40269135376,186.9047619047619,342.53336736670394,760.0,0.30719482619240096,0.06032531010097663,0.01894411600298332,age:>=24h,mcap:300k-1m,liq:20-100k,0.8658536585365854,0.9713114754098361,0.6138211382113821,0.8041666666666667,0.8625,0.9708333333333333,0.49583333333333335,0.48770491803278687,False,,participation_mismatch_review,,
FPfi9q1AixdUeWQVPFHJMJQ7a43S78dm6UZ4fzN4pump,9gnosis,nosis,10,10,2786.6814476333334,market_age:firstPool.createdAt,stats24h,1440,753910.5240572514,43303.65845726174,1446.0,19098.0,795.75,2799.0,6.823151125401929,0.2842979635584137,1820918.6840235288,75871.6118343137,95.34604063375897,0.9866952279217812,0.9969630327783013,0.9678433168607545,42.04999644130928,1.7520831850545533,2.415298136739168,0.10063742236413199,1211.5882651519416,165.3211009174312,406.8262973366405,847.0,0.3026080743122544,0.06120865944811851,0.004296150582973062,age:>=24h,mcap:300k-1m,liq:20-100k,0.6491935483870968,0.8902439024390244,0.4475806451612903,0.6951219512195121,0.9146341463414634,0.8983739837398373,0.6188524590163934,0.33739837398373984,False,,participation_mismatch_review,,
FPZxTg2oze2ZDAo2BkwgNzPycJGDtuqePYF2NJBfpump,Dance Cat Coin,DCC,10,10,10.155652816666667,market_age:firstPool.createdAt,stats5m,5,5536.434097696455,2277.646401064892,2.0,59.0,708.0,3.0,19.666666666666668,236.0,312.7626693418687,3753.152032102424,5.3010621922350625,0.999915693668218,0.9152542372881356,0.8436077450581101,0.13731836038976,1.6478203246771201,0.05649171719970439,0.6779006063964527,159.1387263828106,-33.33333333333333,-0.6507753984374522,1.0,0.3333333333333333,6.934202773129357,0.047994766738168555,age:10-30m,mcap:<10k,liq:1-5k,0.7551724137931034,0.5469798657718121,0.8993055555555556,0.6188524590163934,0.7605042016806722,0.75,0.7613636363636364,0.3723404255319149,False,,cheap_displacement_review,,
FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,Bubblemaps,BMT,10,10,748121.1481732334,market_age:firstPool.createdAt,stats5m,5,12655772.527539011,181219.8156758026,5904.0,26.0,312.0,8.0,3.25,39.0,3692.708572817277,44312.50287380732,142.02725280066448,0.8213218000148013,0.9230769230769231,0.5972708363548604,0.020376958000130813,0.24452349600156972,0.00029178057402516746,0.0035013668883020093,0.2769106227187133,,0.4232006744341741,2.0,0.25,0.1357061891005731,0.18112104953555488,age:>=24h,mcap:>=1m,liq:>=100k,0.4253731343283582,0.7985074626865671,0.6492537313432836,0.5725806451612904,0.6774193548387096,0.4435483870967742,0.30327868852459017,0.7954545454545454,False,MECHANICAL,participation_mismatch_review,,
FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,Bubblemaps,BMT,10,10,748121.1481732334,market_age:firstPool.createdAt,stats1h,60,12655772.527539011,181219.8156758026,5904.0,265.0,265.0,20.0,13.25,13.25,20455.706855858196,20455.706855858196,77.19134662587999,0.8844083485069488,0.9660377358490566,0.8485123649361047,0.11287787033429561,0.11287787033429561,0.0016163143586333032,0.0016163143586333032,0.8116149646711547,,1.3177786350577763,10.0,0.5,0.07161182976911322,0.05467043410039932,age:>=24h,mcap:>=1m,liq:>=100k,0.4295774647887324,0.6690140845070423,0.9366197183098591,0.5,0.7253521126760564,0.6971830985915493,0.32142857142857145,0.6971830985915493,False,MECHANICAL,participation_mismatch_review,,
FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,Bubblemaps,BMT,10,10,748121.1481732334,market_age:firstPool.createdAt,stats6h,360,12655772.527539011,181219.8156758026,5904.0,4000.0,666.6666666666666,110.0,36.36363636363637,6.060606060606061,346229.9327510447,57704.988791840784,86.55748318776118,0.8582239172362209,0.857,0.9975046285451352,1.9105522840307971,0.31842538067179954,0.027357471224901283,0.004559578537483547,-8.008805194668874,-0.01693480101608806,-9.85119920266658,33.0,0.3,0.04369277033392851,0.03534601690135709,age:>=24h,mcap:>=1m,liq:>=100k,0.5666666666666667,0.82,0.9266666666666666,0.2905405405405405,0.1554054054054054,0.9932432432432432,0.3933333333333333,0.5933333333333334,False,MECHANICAL,participation_mismatch_review,,
FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY,Bubblemaps,BMT,10,10,748121.1481732334,market_age:firstPool.createdAt,stats24h,1440,12655772.527539011,181219.8156758026,5904.0,35627.0,1484.4583333333333,464.0,76.78232758620689,3.1992636494252866,2567270.628516225,106969.60952150938,72.05969148444228,0.8984557850776733,0.9502343728071406,0.9010655539630129,14.166610968797164,0.5902754570332152,0.20285372725606707,0.00845223863566946,-28.315206958658983,1.4084507042253522,-16.5286360625602,130.0,0.2801724137931034,0.023498319611086536,0.03367492227726706,age:>=24h,mcap:>=1m,liq:>=100k,0.6866666666666666,0.94,0.9266666666666666,0.23333333333333334,0.42,0.54,0.43333333333333335,0.82,False,MECHANICAL,participation_mismatch_review,,
FQhYF1Swg7jJY6aqnaDxJQMZrowaHcYLGcH62t5Gpump,ITS A MANATEE,Manatee,10,10,10.231506566666667,market_age:firstPool.createdAt,stats5m,5,,,1.0,2.0,24.0,1.0,2.0,24.0,0.14991092597242883,1.798931111669146,0.07495546298621442,0.9999994937495792,1.0,0.9999989874996711,,,,,,,,1.0,1.0,,,age:10-30m,mcap:null,liq:null,0.5586592178770949,,0.6783625730994152,0.43902439024390244,0.5683760683760684,0.508695652173913,,,False,,,,
